organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
AAAneurysm Outreach,NGO,,,,,RMR,1441 Canal St #424,,New Orleans,LA ,70112,,,,,,501(c)(3),,"AAAneurysm Outreach is the nation’s only 501(c)(3) non-profit organization dedicated to raising awareness of abdominal aortic aneurysms (AAA, pronounced “Triple A”) and encouraging at-risk individuals to get screened.",http://www.aoutreach.org/,https://twitter.com/aaaoutreach,https://www.facebook.com/AAAneurysmOutreach,https://www.linkedin.com/company/aaaneurysm-outreach,,https://www.youtube.com/user/AAAneurysmOutreach
"AARP, Inc",NGO,,,,,FNCHS,601 E St Nw,,Washington,DC,20049-0004,,,,,,501(c)(4),,"Founded in 1958, AARP, Inc. was formally known as the American Association of Retired Persons. AARP is a membership organization for people age 50 and over and operates as a advocate for its members. Key areas of focus are hunger, income, housing and isolation. The organization has mutliple subsidiaries.",http://www.aarp.org/,https://twitter.com/AARP,https://www.facebook.com/AARP,https://www.linkedin.com/company/162230?trk=vsrp_companies_hero_name&trkInfo=VSRPsearchId%3A266400191458569303415%2CVSRPtargetId%3A162230%2CVSRPcmpt%3Ahero,,https://www.youtube.com/user/aarp
AbbVie,Business,,,,,DDNC,1 N Waukegan Rd,Bldg Ap34-2 ,North Chicago,IL,60064-1802,,,,,,,,Focused on developing new products and new ways to help people manage some of the most serious health conditions.,http://www.abbvie.com/index.html,https://twitter.com/abbvie,https://www.facebook.com/AbbVieCareers,https://www.linkedin.com/company/abbvie,,https://www.youtube.com/user/AbbVie
"Abt Associates, Inc",Business,,,,,FNCHS,55 Wheeler Street,,Cambridge,MA,02138-1168,,,,,,,,"Founded in 1965, Abt is a research and program implementation in the fields of health, social and environmental policy, climate change, and international development with missions in over 50 countries and over 2300 employees.  ",http://www.abtassociates.com/,http://twitter.com/#!/abtassociates,http://www.facebook.com/abtassociates,https://www.linkedin.com/company/abt-associates,,https://www.youtube.com/user/AbtAssociatesInc
Academy Health,NGO,,,,,"CDCC, CHF, FAHRQ, FNCHS",1150 17Th St Nw,Suite 600,Washington,DC,20036-4647,,,,,,501(c)(3),,AcademyHealth is a leading national organization serving the fields of health services and policy research and the professionals who produce and use this important work.,https://www.academyhealth.org/,https://twitter.com/academyhealth,https://www.facebook.com/AcademyHealth,https://www.linkedin.com/groups/3771534/profile,,https://www.youtube.com/user/AcademyHealth
Academy of Nutrition and Dietetics (Eat Right) (Formerly American Dietetic Association),NGO,,,,,"PHF, NCFAR, CHF, CDCC, FNCHS",120 South Riverside Plaza,Suite 2000,Chicago,IL,60606,1120 Connecticut Avenue NW,Suite 460,Washington,DC,20036,501(c)(6),,The Academy of Nutrition and Dietetics is your source for science-based food and nutrition information.,http://www.eatright.org/,https://twitter.com/eatright,https://www.facebook.com/EatRightNutrition,https://www.linkedin.com/company/academy-of-nutrition-and-dietetics,,https://www.youtube.com/user/EatRightTV
Academic Pediatric Association,NGO,,,,,"Innovation Deficit, AHGMR, FNICHD",6728 Old McLean Dr,,McLean,VA,22101,,,,,,501(c)(3),Health & Medical Sciences,"Founded in 1960, APA is dedicated to improving health by promoting child research, advancing a scholarly approach to education, developing innovation in health care delivery and fostering leadership of child health professionals. Its membership is open to physicians, nurse practioners, doctoral trained professionals, students, and other child health experts.",http://www.academicpeds.org/,https://twitter.com/academicpeds,https://www.facebook.com/AcademicPeds,,,
Academy of Radiology Research,NGO,,,,,"Innovation Imperative, Innovation Deficit, AHGMR, RMR, PHF, CHF","1001 Connecticut Ave, NW", Ste 601,Washington,DC,20036,,,,,,501(c)(6),Health & Medical Sciences,The mission of the Academy of Radiology Research is to raise the profile of imaging research through education and advocacy.,http://www.acadrad.org/,https://twitter.com/CIBR_News,https://www.facebook.com/imagingresearch,https://www.linkedin.com/pub/academy-of-radiology-research/96/a64/338,,https://www.youtube.com/channel/UCCZsC-nVioB52epSAnQJEug
AccessMatters - Philidelphia,NGO,,,,,CPR,1700 Market St Fl 18 ,,Philadelphia,PA,19103-3904,,,,,,501(c)(3),Health & Medical Sciences,"AccessMatters is the catalyst for providing access to sexual and reproductive health care for teens and adults in need. As a capacity building organization, we have been trailblazing for over 40 years to eliminate barriers to high caliber care for more than 200,000 people annually. Founded in 1972 as Family Planning Council - Philadelphia.",http://accessmatters.org/,https://twitter.com/AccessMatters4U,https://www.facebook.com/AccessMatters,https://www.linkedin.com/company/family-planning,,https://www.youtube.com/user/AccessMattersOrg
Acoustical Society of America,NGO,,,,,"Innovation Imperative, SHRC",1305 Walt Whitman Rd, Ste 300,"Melville,",NY,11747-4300,,,,,,501(c)(3),"Physics, General Science, Industry","Organized in 1929, the Society has a membership of 7,500 who work in acoustics throughout the U.S. and abroad. A variety of fields related to sound are represented including physics, measurement technologies and instrumentation, nearly all engineering fields, robotics, oceanography, ocean engineering, music, animal bioacoustics, biology, noise and noise control and others.",http://acousticalsociety.org/,https://twitter.com/acousticsorg,"https://www.facebook.com/groups/3282835163/ , https://www.facebook.com/ASAStudents?fref=ts",https://www.linkedin.com/groups?home=&gid=161832&trk=anet_ug_hm,,
