Abbreviation,Organizations ,Type,Collaboration Type,Year,Membership,About,Website,Twitter,Facebook,YouTube/Vimeo,Link to folder/sites
SHRC,AAAS Science and Human Rights Coalition,Collaboration,Coalition,,,,,,,,
AHGMR,Ad Hoc Group for Medical Research,,Coalition,,"Innovation Imperative, RMR","The Ad Hoc Group for Medical Research is a coalition of more than 200 patient and voluntary health groups, medical and scientific societies, academic and research organizations, and industry. The Ad Hoc Group has one mission: to enhance the federal investment in biomedical, behavioral, and population-based research by increasing the funding for the National Institutes of Health.",https://www.aamc.org/research/adhocgp/,,,,
AFRI,Agriculture and Food Research Initiative (AFRI) coalition,Collaboration,Coalition,,,"Agriculture and Food Research Initiative (AFRI) Coalition is a coalition of scientific societies and science advocacy organizations who support full appropriation of the Agriculture and Food Research Initiative (AFRI) competitive grants program over time. For Fiscal Year 2016, the AFRI Coalition supports funding of at least $450 million for AFRI.",http://africoalition.org/,,,,
InnovationP,American Innovation Proclamation ,Collaboration,Letter/Campaign,2007,,"In 2007, the leaders of American business and higher education called on Congress to act quickly on an innovation agenda that will ensure continued U.S. competitiveness, enabling Americans to succeed in the global economy. This document was signed by 275 organizations representing a myriad of sectors and individuals. This campaign was spearheaded by Tapping American's Potential (TAP) coalition which is comprised of U.S. business and technology associations.",https://www.ieeeusa.org/policy/policy/2007/031307.pdf,,,,
BESC,Biological Ecological Sciences Coalition (BESC),Collaboration,Coalition,2002,,"Established in 2002 by the Ecological Society of America (ESA) and the American Institute of Biological Sciences (AIBS), BESC is an alliance of scientific and professional organizations which aims to enhance awareness and appreciation for the biological and ecological sciences on Capitol Hill, at the White House, and in federal agencies. BESC works to increase the nation's investment in fundamental biological research across all federal agencies.",http://www.esa.org/besc/,,,,
BFRF,Business for Federal Research Funding,Collaboration,Coalition,,,,,,,,
CDCC,Centers for Disease Control and Prevention Coalition ,Collaboration,Coalition,,,,,,,,
Innovation Deficit,Close the Innovation Deficit Campaign,Collaboration,Letter/Campaign,2013,,"Close the Innovation Deficit is an effort by leaders of the business, higher education, scientific, and high-tech manufacturing communities who are concerned about cuts and stagnating federal investments in research and higher education at a time when other nations are pouring resources into these areas. These leaders believe the nation needs sustained investments in research and higher education to develop the ideas, the people, and the innovations that power the nation’s economy, create jobs, improve health, and strengthen our national security, ensuring that the U.S. maintains its role as global leader. They also believe that the growth supported by innovation will help the nation address its fiscal challenges.",http://www.innovationdeficit.org/,,,,"http://www.innovationdeficit.org/charts/ , http://www.innovationdeficit.org/facts/"
CAHT-BSSR,Coalition for the Advancement of Health through Behavioral and Social Sciences Research,Collaboration,Coalition,,FNCHS,,http://www.cossa.org/caht-bssr/caht-bssr.html,,,,
CHF,Coalition for Health Funding,Collaboration,Coalition,1970,"AHGMR, RMR, NDD","The coalition advocates for increased investment in the National Institutes of Health (NIH), the Centers for Disease Control and Prevention (CDC), the Health Resources and Services Administration (HRSA), the Substance Abuse and Mental Health Services Administration (SAMHSA), the Agency for Healthcare Research and Quality (AHRQ), the Food and Drug Administration (FDA), and the Indian Health Service, among others.",http://www.publichealthfunding.org/,https://twitter.com/healthfunding,,,
